year,trades,win_rate_pct,pnl_usd,return_pct,end_equity
2012,347,40.345821325648416,-554.233672519999,-5.54233672519999,9445.766327480002
2013,498,40.16064257028113,-656.4781571221052,-6.949972446515565,8789.288170357897
2014,501,37.3253493013972,-1505.3987631534815,-17.12765281983219,7283.889407204415
2015,470,41.702127659574465,-601.5678177966573,-8.258881816652147,6682.3215894077575
2016,469,38.80597014925373,-915.4643822360035,-13.699795347879082,5766.8572071717535
2017,408,41.911764705882355,-593.6060597681154,-10.293406589466056,5173.251147403638
2018,554,35.55956678700361,-1430.0424617955578,-27.643012508937836,3743.2086856080805
2019,581,34.76764199655766,-1107.2490312449358,-29.580211103433697,2635.9596543631446
2020,464,43.53448275862069,100.25163364275787,3.8032309590481552,2736.2112880059026
2021,574,40.243902439024396,-227.30416019926506,-8.307259062764846,2508.9071278066376
2022,89,33.70786516853933,-111.36262344638644,-4.438690544266699,2397.5445043602513
