entry_time,exit_time,direction,entry_price,exit_price,stop_price,take_profit,size_oz,pnl,r_multiple,exit_reason,bars_held
2012-05-17 14:15:00,2012-05-17 14:30:00,short,1548.41,1549.689815698299,1549.6098156982991,1538.811474413608,25.003840208567013,-32.00030721668354,-1.0666769072227846,stop_loss,1
2012-05-17 15:00:00,2012-05-17 17:00:00,short,1557.05,1558.6418640995491,1558.5618640995492,1544.9550872036066,19.779554979356575,-31.486363476697036,-1.0529148089592035,stop_loss,8
2012-05-18 15:30:00,2012-05-18 15:45:00,long,1588.28,1586.708157297166,1586.788157297166,1600.2147416226726,19.98169105314649,-31.408075272170123,-1.0536249564702462,stop_loss,1
2012-05-21 15:15:00,2012-05-21 15:30:00,long,1589.1699999999998,1587.9507116497427,1588.0307116497427,1598.2843068020575,26.08234847253167,-31.801903639903987,-1.0702192732699045,stop_loss,1
2012-05-22 15:45:00,2012-05-22 17:15:00,long,1576.9099999999999,1586.78246861886,1575.6696914226422,1586.83246861886,23.88108136306433,235.7652263413007,7.9596874512412406,take_profit,6
2012-05-23 15:30:00,2012-05-23 16:45:00,long,1559.34,1557.8348259178024,1557.9148259178023,1570.7413926575812,21.279650050500063,-32.029577734246,-1.0561334934442312,stop_loss,5
2012-05-24 15:45:00,2012-05-24 16:00:00,short,1571.97,1573.8353025730507,1573.7553025730508,1557.687579415594,16.933329651424213,-31.585783369117507,-1.044810331429266,stop_loss,1
2012-05-28 15:30:00,2012-05-28 15:45:00,long,1577.4099999999999,1576.3126713094684,1576.3926713094684,1585.5486295242522,29.623031304811867,-32.50620215128025,-1.0786373182477855,stop_loss,1
2012-05-30 14:30:00,2012-05-30 14:45:00,short,1553.32,1554.720395538819,1554.6403955388191,1542.7568356894471,22.74988074202903,-31.858831499804275,-1.060587905402551,stop_loss,1
2012-06-01 15:45:00,2012-06-01 16:00:00,short,1582.52,1584.9836886498451,1584.9036886498452,1563.450490801238,12.561734750001191,-30.94820332594338,-1.033561430099154,stop_loss,1
2012-06-04 15:15:00,2012-06-04 15:30:00,long,1619.44,1617.8072287086466,1617.8872287086465,1631.862170330829,19.223964341809463,-31.38833708330973,-1.0515207876687305,stop_loss,1
2012-06-04 15:45:00,2012-06-04 17:30:00,long,1617.02,1615.2978400600064,1615.3778400600063,1630.1572795199495,18.120192923979612,-31.205870358633486,-1.0487163266205572,stop_loss,7
